,company_name,address,telephone,fax,email,website,contact_person
0,,, , ,,, 
1,,, , ,,, 
2,"A&G INTERNATIONAL CARGO (THAILAND) CO., LTD.","514/18  REGENT RATCHADA,  SOI RAMKHAMHAENG 39 ( THEP LE LA 1)
RAMKHAMHAENG RD.,  WANGTHONGLANG,
WANGTHONGLANG, BANGKOK 10310",662-158 2552 ,662-158 2698-9 ,ang@angth.com,http://www.angth.com,MS.NANTAPORN CHOTCHANSIRISUK 
3,"ABLE LOGISTICS CO., LTD.","1168/76 ZONE D. LUMPINI TOWER 26th FLOOR,
RAMA 4 ROAD, THUNGMAHAMEK, SATHORN,
BANGKOK, THAILAND, 10120",662-679-7080 (15 Lines) ,662-679-7081-2/679-7881 ,able@able-logistics.co.th,,MRS.HUNSA WERAWINUNTANAUL 
4,ACCESS TRANSPORT CORPORATION LTD,"23/74 SORACHAI BUILDING, 
20th FLOOR, SUKHUMVIT 63,
SUKHUMVIT RD, KLONGTON-NUA,
WATTANA, BANGKOK 10110 THAILAND.",662-714-3180 ,662-714-3187-88 ,monthira@accorp.co.th,,Ms. Monthira Chiewudomrat 
5,"ACCORD PILOT LOGISTICS (THAILAND) CO.,LTD.","2024/84 RIMTHANG ROTFAI SAIPAKNAM RD., PHRAKANONG, KLONGTOEY, BANGKOK 10260",02-3330505 ,02-7428727 ,boonyaporn@pilot.co.th,,MS.BOONYAPORN SUTATHO 
6,"ACUTECH CO.,LTD.","87/126 Modern Town Tower. Building A.
17TH Floor, Sukhumvit 63 Road,
North Klongton, Wattana, 
Bagnkok, 10110","662-711-6180-3, 711-4670-1 ","662-381-7566, 711-4672, 711-6930 ",samatha@acutech.co.th,http://www.acutech.co.th,MR.SAMATHA MAETEPUTTI 
7,"AERO MARINE TRANSWORLD CO., LTD.","33/69-70 Wallstreet Tower Bldg., 14th Floor, Surawongse Rd., Suriyawongse, Bangrak, Bangkok 10500",662-019-0898-9 ,662-035-1898 ,sales@aeromarine-transworld.com,http://www.aeromarine-transworld.com,MR.ANAN CHANKUPTARAT 
8,"AIR TIGER EXPRESS (THAILAND) CO.,LTD.","524/22 Soi Preyanuch (Soi 19) Rama 9 Road,Bangkapi, Huaykwang, Bangkok 10310",662-719-7859-65 ,"662-719-7983 , 02-719-7984 ","tanawut@bkk.airtiger.com, ad-min@bkk.airtiger.com",http://www.airtiger.com,MS. WANIDA THONGSUK 
9,ALFREIGHT INTERNATIONAL LIMITED,"44 SOI YAEK SOI SANTISUK, 
RAMA IV RD.,PHRAKANONG,
KLONGTOEY, BANGKOK 10110.",662-712-1250 ,"662-391-0582, 391-3901-2 ",SIRILAK@ALFREIGHT.CO.TH,,MS. SIRILAK PUNAPANONT 
